escopo,modelo_previsao,MAE,RMSE,WAPE_pct,viés,MAPE_pct_positivos,observacoes,caixas_reais
HB 618,mediana_dia_semana,23.485915323837126,60.52368162515372,36.58693167786476,-3005.3707371163573,69.92614199842549,180,11554.575812784857
HB 618,tendencia_dia_semana,26.163585167285135,66.97757673190101,40.758271064355625,1716.82657285503,89.32430407964279,180,11554.575812784857
HB 618,ultima_semana,27.26996307145545,69.18200532890724,42.48181354637651,697.718670572396,90.32803210718622,180,11554.575812784857
HB 618,media_dia_semana,28.22849918572664,57.08450580467466,43.97504448245213,-700.8289872633804,56.54769892077035,180,11554.575812784857
HB 618,media_exponencial,31.203793898236437,61.11655445408263,48.610031148593414,2062.3378527769564,55.53457789222283,180,11554.575812784857
HB 623,mediana_dia_semana,453.97602924487984,5235.11281763117,95.03718700636479,-97501.32537259258,82.38849848968047,216,103179.42418721515
HB 623,media_exponencial,461.17610306680535,5204.381920639966,96.54447972270523,-77844.59013913886,96.43612733983915,216,103179.42418721515
HB 623,media_dia_semana,464.0611290664548,5214.9856817504715,97.14844279076189,-80803.08154817973,90.66515618926188,216,103179.42418721515
HB 623,tendencia_dia_semana,645.4692225331469,5806.179640099347,135.12515035380017,-41043.39901939753,273.57093123887404,216,103179.42418721515
HB 623,ultima_semana,827.0385018962123,7273.6884308264825,173.13560122747515,-1321.7186705723989,401.56887201554065,216,103179.42418721515
HB NAO_INFORMADO,ultima_semana,0.0,0.0,0.0,0.0,,54,0.0
HB NAO_INFORMADO,tendencia_dia_semana,0.0,0.0,0.0,0.0,,54,0.0
HB NAO_INFORMADO,mediana_dia_semana,0.8055555555555556,2.8746980517767233,4349999999999.9995,43.5,,54,0.0
HB NAO_INFORMADO,media_exponencial,4.381078466423038,9.242151272942548,23657823718684.406,236.5782371868441,,54,0.0
HB NAO_INFORMADO,media_dia_semana,6.177029806260895,12.598797430947156,33355960953808.824,333.5596095380883,,54,0.0
IFCO 6416,tendencia_dia_semana,32.50148809523809,137.6497628238117,61.31285090455394,87.46428571428498,108.35997908344099,216,11450.0
IFCO 6416,mediana_dia_semana,36.355246913580245,116.51676207147794,68.58282387190684,2008.7333333333331,298.36598041739757,216,11450.0
IFCO 6416,ultima_semana,37.023148148148145,140.43017574317585,69.84279475982532,-161.0,130.9630049305249,216,11450.0
IFCO 6416,media_exponencial,57.01947716549661,126.42419333071804,107.56512722923378,7212.844107729641,293.40033231541287,216,11450.0
IFCO 6416,media_dia_semana,68.32932062253022,151.57837827483,128.90072711324478,11285.5612303881,402.6932790636269,216,11450.0
IFCO 6420,ultima_semana,0.5555555555555556,1.4529663145135578,43.47826086956522,-10.0,52.5,18,23.0
IFCO 6420,tendencia_dia_semana,0.8075396825396827,1.993558930878231,63.198757763975166,-14.535714285714288,69.70238095238096,18,23.0
IFCO 6420,media_exponencial,1.2658298128419243,3.2056105166638718,99.06494187458539,-22.784936631154636,99.23300818645404,18,23.0
IFCO 6420,media_dia_semana,1.2725889344655537,3.225259664630121,99.59391661034766,-22.906600820379964,99.66696801237767,18,23.0
IFCO 6420,mediana_dia_semana,1.2777777777777777,3.24037034920393,100.0,-23.0,100.0,18,23.0
IFCO 6424,mediana_dia_semana,118.46520146520146,346.3418110709936,97.53996179752689,-20964.142857142855,195.7725342239815,234,28420.0
IFCO 6424,tendencia_dia_semana,132.76642246642245,353.1323190715556,109.31506987031264,1776.3047619047584,498.6648715690568,234,28420.0
IFCO 6424,ultima_semana,156.93589743589743,431.87838090999173,129.21534130893735,2221.0,903.2921817327253,234,28420.0
IFCO 6424,media_exponencial,175.4517587250652,337.43029785540216,144.46063174407197,6414.4750476792215,432.8446322203956,234,28420.0
IFCO 6424,media_dia_semana,176.03278496377936,337.2300148133517,144.9390277323166,5954.310655635536,402.35398202244295,234,28420.0
IFCO NAO_INFORMADO,ultima_semana,0.0,0.0,0.0,0.0,,72,0.0
IFCO NAO_INFORMADO,mediana_dia_semana,0.0,0.0,0.0,0.0,,72,0.0
IFCO NAO_INFORMADO,tendencia_dia_semana,0.0,0.0,0.0,0.0,,72,0.0
IFCO NAO_INFORMADO,media_exponencial,0.33559193083532246,0.5761942216318571,2416261902014.322,24.162619020143218,,72,0.0
IFCO NAO_INFORMADO,media_dia_semana,0.727172597395909,1.3410310623712942,5235642701250.544,52.35642701250545,,72,0.0
geral,mediana_dia_semana,139.31957328421737,2451.848428258032,89.19941378373453,-119441.60563351845,159.2975866581153,990,154627.0
geral,media_exponencial,160.49107632965973,2437.348338948641,102.75447726875846,-61916.97721137721,228.78337016524725,990,154627.0
geral,media_dia_semana,163.31107202540096,2442.5773022397857,104.55998066647282,-63901.02921368926,241.7722326637859,990,154627.0
geral,tendencia_dia_semana,184.07373474471822,2718.4020347117994,117.8532839654595,-37477.339113209164,257.45264705992446,990,154627.0
geral,ultima_semana,230.58475733580184,3404.7767996592142,147.6319852046821,1426.0,412.3738111797088,990,154627.0
