data,origem,familia_caixa,modelo_caixa_previsao,quantidade_caixas,numero_dia_semana,dia_semana
2025-04-21,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-04-22,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-04-23,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-04-24,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-04-25,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-04-26,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-04-28,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-04-29,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-04-30,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-05-01,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-05-02,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-05-03,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-05-05,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-05-06,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-05-07,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-05-08,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-05-09,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-05-10,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-05-12,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-05-13,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-05-14,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-05-15,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-05-16,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-05-17,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-05-19,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-05-20,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-05-21,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-05-22,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-05-23,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-05-24,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-05-26,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-05-27,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-05-28,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-05-29,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-05-30,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-05-31,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-06-02,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-06-03,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-06-04,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-06-05,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-06-06,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-06-07,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-06-09,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-06-10,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
2025-06-11,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,2,quarta-feira
2025-06-12,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,3,quinta-feira
2025-06-13,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,4,sexta-feira
2025-06-14,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,5,sábado
2025-06-16,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,0,segunda-feira
2025-06-17,TREB. MINAS,IFCO,NAO_INFORMADO,0.0,1,terça-feira
