escopo,modelo_previsao,MAE,RMSE,WAPE_pct,viés,MAPE_pct_positivos,observacoes,cobertura_ajuste_pct
HB 618,mediana_sazonal,32.16408363921466,63.16160680895175,30.055561432656418,496.9299709847727,55.647207949990666,108,100.0
HB 618,holt_winters,37.01181259441997,72.98673356849947,34.58549665656563,1765.889949506959,63.70857507663503,108,66.66666666666666
HB 618,sarima_111_100_6,40.989878119775405,84.53703226940101,38.30277939098437,1019.2073305230115,80.96376495797884,108,66.66666666666666
HB 618,arima_111,53.13097518343674,104.41651707111637,49.64796468368209,2318.402069945567,86.18018292960211,108,66.66666666666666
HB 618,media_movel_3,64.30810846573425,122.38074689935858,60.09237901164097,555.0560302494598,97.06484948953482,108,100.0
HB 623,mediana_sazonal,754.518427864845,6713.557566982055,92.15328310176346,-77388.29300593816,119.48331512860382,126,100.0
HB 623,media_movel_3,1375.0259300346827,7862.72897674489,167.93911072699407,-2392.0560302494555,367.2501676364923,126,100.0
HB 623,arima_111,1549.5508261801776,9700.635823776252,189.2547493765548,23929.40954505981,349.174288273218,126,85.71428571428571
HB 623,sarima_111_100_6,2155.829486027694,11391.910284357937,263.30273404618026,96966.52354375173,554.2691283920975,126,85.71428571428571
HB 623,holt_winters,2164.2634883273076,12867.40812780136,264.33282287223665,98135.22037541526,556.7636315417675,126,85.71428571428571
IFCO 6416,mediana_sazonal,91.68055555555556,175.11918560416694,57.73132761938079,-2428.0,106.81535864195104,72,100.0
IFCO 6416,holt_winters,98.16245225743369,180.4542077302392,61.81298375489964,1755.7675832926197,132.58192902708313,72,100.0
IFCO 6416,sarima_111_100_6,103.93182013255799,203.51211866933215,65.44595985258155,880.6526960369007,147.18650268376499,72,100.0
IFCO 6416,arima_111,105.32482145917585,212.9823224367929,66.32313403061625,2138.1081452797202,198.75006689209033,72,100.0
IFCO 6416,media_movel_3,115.95370370370372,237.18316748511393,73.016150661769,-57.33333333333309,196.74491606642528,72,100.0
IFCO 6420,mediana_sazonal,1.2777777777777777,3.24037034920393,100.0,-23.0,100.0,18,100.0
IFCO 6420,holt_winters,1.2777777777777777,3.24037034920393,100.0,-23.0,100.0,18,0.0
IFCO 6420,arima_111,1.2777777777777777,3.24037034920393,100.0,-23.0,100.0,18,0.0
IFCO 6420,sarima_111_100_6,1.2777777777777777,3.24037034920393,100.0,-23.0,100.0,18,0.0
IFCO 6420,media_movel_3,2.0,3.4854193647462495,156.52173913043478,-10.0,100.0,18,100.0
IFCO 6424,holt_winters,172.79811330848895,374.58163977246295,98.66869111407848,-5308.497295688606,417.31551215490094,162,77.77777777777779
IFCO 6424,mediana_sazonal,181.68827160493828,404.05579426181134,103.74502132459202,-9343.5,351.97783546477825,162,100.0
IFCO 6424,sarima_111_100_6,185.42760696207546,395.8819277873356,105.88020276992783,-5747.35144624311,644.8984803547771,162,77.77777777777779
IFCO 6424,arima_111,191.2488701239654,398.1177822749739,109.20417665955516,-3605.163619911784,631.7292522213065,162,77.77777777777779
IFCO 6424,media_movel_3,207.0720164609054,437.30591148471655,118.2392818958326,788.9999999999995,538.2456278962485,162,100.0
geral,mediana_sazonal,276.9558496790239,3427.119241342597,87.09190743707903,-88685.86303495339,170.36414962364046,486,100.0
geral,media_movel_3,457.0553008888944,4012.9123751421007,143.72622208476395,-1115.333333333319,311.7879702643804,486,100.0
geral,arima_111,492.94290848489027,4945.591755210993,155.01148723627088,24757.756140373316,333.3684229362534,486,77.77777777777779
geral,holt_winters,641.5194777941329,6555.7901292294555,201.7330742206073,96325.3806125262,297.1413413248837,486,77.77777777777779
geral,sarima_111_100_6,645.2814515510818,5805.6434877449965,202.91606952690117,93096.03212406846,371.91501543346044,486,77.77777777777779
